Especies,Tipo de Suelo Aluvial (abundancia km2),Tipo de Suelo Lacustre (abundancia km2)
Acacia sp.,56.7,11.8
Acosmium cardenasii,19.2,20.7
Amburana cearensis,10.4,11.7
Anadenanthera macrocarpa,190.5,154.6
Bauhinia rufa,66.9,88.4
Caesalpinia pluviosa,33.7,45.7
Centrolobium microchaete,55.1,34.8
Chamaecrista sp,221.3,0
Clitoria falcata,67.7,0
Copaifera chodatiana,111.4,44.9
Enterolobium contortisiliquum,34.4,0
Hymenaea courbaril,78.6,82.6
Inga edulis,0,19.9
Machaerium scleroxylon,47.8,34.6
Machaerium sp.,76.6,75.3
Mimosa neptunioides,123.6,18.4
Platymisciumÿulei,0,23.1
Platypodium elegans,21.4,0

